Date,Lafayette,Orinda,Moraga
1996-04,379300,419000,412800
1996-05,382100,421100,412400
1996-06,385200,423200,412100
1996-07,388300,425200,411700
1996-08,391200,427100,411300
1996-09,394000,428800,411000
1996-10,396600,430600,410800
1996-11,399100,432500,410900
1996-12,402000,435000,411500
1997-01,405100,438100,412600
1997-02,407700,441000,413600
1997-03,409600,443500,414400
1997-04,411600,446200,415600
1997-05,413600,449000,417100
1997-06,415500,451900,418900
1997-07,417200,454800,421000
1997-08,418900,457500,423300
1997-09,420400,460200,425900
1997-10,422000,463100,429000
1997-11,423500,466100,432400
1997-12,425800,470000,436700
1998-01,428600,474600,441400
1998-02,431100,478900,446200
1998-03,433100,482900,450900
1998-04,435500,487300,456100
1998-05,438000,491900,461600
1998-06,440800,496500,467400
1998-07,443500,501200,473400
1998-08,446200,505700,479400
1998-09,448900,510200,485600
1998-10,451800,514800,492000
1998-11,454800,519600,498600
1998-12,458600,525300,506000
1999-01,463100,531700,513600
1999-02,467600,538100,521000
1999-03,472000,544300,528200
1999-04,477200,551100,535900
1999-05,482900,558200,543900
1999-06,489200,565600,552000
1999-07,496000,573000,560300
1999-08,503000,580300,568700
1999-09,510400,587600,577100
1999-10,518200,595100,585700
1999-11,526500,602700,594700
1999-12,535900,611300,604200
2000-01,546200,620800,614200
2000-02,556500,630200,623900
2000-03,566700,639200,633300
2000-04,577500,648600,642900
2000-05,588800,658200,652600
2000-06,600300,667800,662300
2000-07,611700,677000,671700
2000-08,622800,685700,680700
2000-09,633300,693700,689400
2000-10,643500,701600,697900
2000-11,653300,709200,706200
2000-12,663200,717200,714600
2001-01,672800,725600,722600
2001-02,681800,733700,730000
2001-03,690000,741600,736900
2001-04,698200,749700,743800
2001-05,706100,757700,750500
2001-06,713500,765500,756800
2001-07,719900,772700,762600
2001-08,725300,778800,767700
2001-09,729700,784200,772400
2001-10,733400,789400,776800
2001-11,736500,794400,781000
2001-12,739600,799800,785300
2002-01,742900,806000,789600
2002-02,746300,812500,793600
2002-03,749600,819300,797600
2002-04,753400,826700,801800
2002-05,757900,834400,806200
2002-06,762800,842200,810700
2002-07,767500,849400,815000
2002-08,771900,855700,818900
2002-09,775800,861300,822500
2002-10,779400,866400,826100
2002-11,783100,872600,829400
2002-12,788000,880200,833500
2003-01,794500,887800,839300
2003-02,801900,894500,845900
2003-03,809900,901300,852200
2003-04,818900,908900,858800
2003-05,828200,917300,866000
2003-06,837500,926400,873700
2003-07,846400,935800,881100
2003-08,855000,945000,887100
2003-09,863700,953000,891000
2003-10,872400,959300,892800
2003-11,880600,963600,893400
